"filename", "language", "JavaScript", "Markdown", "SCSS", "TypeScript", "JSON", "XML", "CSS", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\rotate-right.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\search-default.svg", "XML", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\search-more.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\search.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\selected.svg", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\setting.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\start-group.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\translate.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\video-dark.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\video-light.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\words-dark.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\words-light.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\zoom-in.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\zoom-out.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\styles\common.scss", "SCSS", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 11, 60
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\styles\sample.scss", "SCSS", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 100
